Time_ns,Phase,State,P1_Score,P2_Score,WIN1,WIN2
45000,1,NORMAL,0,0,0,0
65000,1,NORMAL,15,0,0,0
85000,1,NORMAL,30,0,0,0
105000,1,NORMAL,40,0,0,0
115000,1,GAME_P1,40,0,1,0
145000,2,NORMAL,0,0,0,0
165000,2,NORMAL,15,0,0,0
185000,2,NORMAL,30,0,0,0
205000,2,NORMAL,40,0,0,0
225000,2,NORMAL,40,15,0,0
245000,2,NORMAL,40,30,0,0
265000,2,DEUCE,40,40,0,0
285000,2,ADV_P1,40,40,0,0
305000,2,DEUCE,40,40,0,0
325000,2,ADV_P1,40,40,0,0
335000,2,GAME_P1,40,40,1,0
375000,3,NORMAL,0,0,0,0
395000,3,NORMAL,15,0,0,0
415000,3,NORMAL,30,0,0,0
435000,3,NORMAL,40,0,0,0
455000,3,NORMAL,40,15,0,0
475000,3,NORMAL,40,30,0,0
495000,3,DEUCE,40,40,0,0
515000,3,ADV_P2,40,40,0,0
525000,3,GAME_P2,40,40,0,1
